Método,Modelo,Batch,Clientes,Accuracy μ,Accuracy σ,Precision μ,Precision σ,Recall μ,Recall σ,F1 μ,F1 σ,AUC μ,AUC σ
FedAvg,DenseNet169,32,3,0.8344,0.0426,0.7785,0.0457,0.7941,0.0634,0.7707,0.0511,0.9533,0.0146
FedAvg,DenseNet169,32,5,0.7961,0.0463,0.7587,0.0439,0.7835,0.0471,0.7459,0.0461,0.9554,0.0387
FedAvg,DenseNet169,32,7,0.8022,0.0507,0.7544,0.0363,0.7466,0.0234,0.7335,0.0419,0.9481,0.0168
FedAvg,DenseNet169,64,3,0.8697,0.0113,0.8258,0.0191,0.8203,0.0531,0.8205,0.0350,0.9658,0.0043
FedAvg,DenseNet169,64,5,0.8298,0.0731,0.7886,0.0683,0.7707,0.0771,0.7731,0.0766,0.9155,0.0456
FedAvg,DenseNet169,64,7,0.8215,0.0658,0.7996,0.0932,0.7470,0.0343,0.7627,0.0581,0.9303,0.0367
FedAvg,ResNet50,32,3,0.8575,0.0053,0.7829,0.0225,0.7707,0.0066,0.7709,0.0142,0.9429,0.0023
FedAvg,ResNet50,32,5,0.8091,0.0158,0.7141,0.0360,0.7483,0.0040,0.7207,0.0273,0.9119,0.0036
FedAvg,ResNet50,32,7,0.1000,0.0000,0.2254,0.0000,0.3102,0.0000,0.0728,0.0000,0.5005,0.0031
FedAvg,ResNet50,64,3,0.7873,0.0492,0.7210,0.0528,0.7122,0.0205,0.7100,0.0347,0.8845,0.0243
FedAvg,ResNet50,64,5,0.7592,0.0732,0.6929,0.0552,0.7022,0.0383,0.6910,0.0540,0.8910,0.0217
FedAvg,ResNet50,64,7,0.6871,0.1475,0.5497,0.1741,0.5809,0.1606,0.5501,0.1551,0.7749,0.1732
FedProx,DenseNet169,32,3,0.8532,0.0234,0.8012,0.0265,0.8101,0.0451,0.7929,0.0084,0.9495,0.0144
FedProx,DenseNet169,32,5,0.8016,0.0509,0.7362,0.0732,0.7464,0.0523,0.7324,0.0603,0.9198,0.0383
FedProx,DenseNet169,32,7,0.8050,0.0541,0.7526,0.0635,0.7695,0.0455,0.7485,0.0572,0.9421,0.0163
FedProx,DenseNet169,64,3,0.8077,0.0449,0.7501,0.0540,0.8013,0.0254,0.7615,0.0467,0.9326,0.0363
FedProx,DenseNet169,64,5,0.8499,0.0162,0.7852,0.0418,0.7884,0.0308,0.7789,0.0337,0.9498,0.0028
FedProx,DenseNet169,64,7,0.7904,0.0561,0.7601,0.0825,0.7221,0.0346,0.7190,0.0588,0.9348,0.0158
FedProx,ResNet50,32,3,0.7848,0.0449,0.7281,0.0112,0.7524,0.0049,0.7273,0.0092,0.9046,0.0231
FedProx,ResNet50,32,5,0.7394,0.1046,0.6967,0.0900,0.7042,0.0717,0.6863,0.0799,0.8816,0.0924
FedProx,ResNet50,32,7,0.4121,0.3182,0.3537,0.2938,0.4596,0.2061,0.3495,0.3056,0.6283,0.1963
FedProx,ResNet50,64,3,0.8017,0.0839,0.7630,0.0848,0.7745,0.0818,0.7642,0.0828,0.8940,0.0716
FedProx,ResNet50,64,5,0.7763,0.0891,0.7090,0.1231,0.6955,0.1721,0.6938,0.1513,0.9040,0.0715
FedProx,ResNet50,64,7,0.6664,0.0534,0.4615,0.2186,0.4893,0.1507,0.4707,0.1891,0.6691,0.2343
